StudentId,Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,IsDropout,MaritalStatusLabel,ApplicationModeLabel,CourseLabel,PreviousQualificationLabel,Daytime_evening_attendanceLabel,DisplacedLabel,Educational_special_needsLabel,DebtorLabel,Tuition_fees_up_to_dateLabel,GenderLabel,Scholarship_holderLabel,InternationalLabel,ApplicationChoiceGroup,AgeGroup,AdmissionGradeBand,FirstSemApprovalRate,FirstSemApprovalBand,FirstSemGradeBand,Tuition_fees_up_to_date_label,Scholarship_holder_label,Debtor_label,Daytime_evening_attendance_label,First_sem_approval_band,Age_group,Course_label
851,1,1,6,9500,1,1,133.0,1,3,3,1,1,126.2,1,0,0,1,0,0,19,0,0,7,9,7,13.761111111111113,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,7th-10th choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9500
852,1,5,2,9853,1,1,122.0,1,19,19,4,5,112.6,1,0,0,1,0,0,22,0,0,6,10,5,12.6,0,0,6,9,4,11.25,0,12.7,3.7,-1.7,Enrolled,0,Single,1st phase - Azores,Basic Education,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,21-24,<120,0.8333333333333334,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9853
853,1,1,1,9238,1,1,164.0,1,19,19,9,9,149.0,1,0,0,1,0,1,23,0,0,6,7,6,13.857142857142858,0,0,6,6,6,14.166666666666666,0,10.8,1.4,1.74,Graduate,0,Single,1st phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,21-24,140-<160,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,21-24,9238
854,2,39,1,9500,1,1,133.1,1,1,19,9,9,120.0,0,0,0,1,1,1,34,0,0,8,8,7,13.842857142857143,0,0,8,8,7,13.842857142857143,0,12.7,3.7,-1.7,Graduate,0,Married,Over 23 years old,Nursing,Secondary education,Daytime,No,No,No,Up to date,Male,Yes,No,2nd-3rd choice,25-34,120-<140,0.875,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,25-34,9500
855,1,17,4,9119,1,1,127.0,1,19,19,5,5,120.4,1,0,1,0,1,0,18,0,0,5,12,0,0.0,0,0,5,8,0,0.0,0,9.4,-0.8,-3.12,Enrolled,0,Single,2nd phase - general,Informatics Engineering,Secondary education,Daytime,Yes,No,Yes,Not up to date,Male,No,No,4th-6th choice,17-20,120-<140,0.0,0%,No recorded grade,Not up to date,No scholarship,Debtor,Daytime,No approved units,<=20,9119
856,1,1,3,9773,1,1,140.0,1,1,39,4,1,128.1,1,1,0,1,1,0,21,0,0,6,6,5,11.8,0,0,6,9,0,0.0,0,16.2,0.3,-0.92,Dropout,1,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,Yes,Yes,No,Up to date,Male,No,No,4th-6th choice,21-24,120-<140,0.8333333333333334,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9773
857,1,1,1,9238,1,1,127.0,1,1,19,4,3,141.7,1,0,0,1,1,0,22,0,0,6,6,6,12.666666666666666,0,0,6,6,6,13.833333333333334,0,10.8,1.4,1.74,Dropout,1,Single,1st phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,21-24,140-<160,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9238
858,1,39,1,9003,1,12,133.1,1,37,1,9,10,130.0,0,0,0,1,1,0,28,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout,1,Single,Over 23 years old,Agronomy,Other 11th year,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,25-34,120-<140,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,25-34,9003
859,1,5,4,9119,1,1,115.0,1,19,37,4,6,113.3,1,0,0,1,1,0,23,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,1,Single,1st phase - Azores,Informatics Engineering,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,4th-6th choice,21-24,<120,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,21-24,9119
860,1,1,1,9773,1,1,108.0,1,34,38,0,3,105.9,0,0,0,1,1,0,20,0,0,6,11,4,10.75,0,0,6,13,2,10.0,0,7.6,2.6,0.32,Dropout,1,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,<120,0.6666666666666666,50-<80%,Below 12,Up to date,No scholarship,Not debtor,Daytime,50-79%,<=20,9773
861,1,18,2,9119,1,1,136.0,1,1,2,5,4,122.7,1,0,0,1,1,0,18,0,0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,Dropout,1,Single,3rd phase - general,Informatics Engineering,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9119
862,1,39,2,9147,1,12,133.1,1,19,38,9,9,120.0,1,0,1,0,1,0,28,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout,1,Single,Over 23 years old,Management,Other 11th year,Daytime,Yes,No,Yes,Not up to date,Male,No,No,2nd-3rd choice,25-34,120-<140,0.0,0%,No recorded grade,Not up to date,No scholarship,Debtor,Daytime,No approved units,25-34,9147
863,1,44,1,9070,1,39,120.0,1,1,19,5,8,119.8,0,0,0,1,1,0,21,0,2,7,7,2,12.0,0,5,9,10,7,12.142857142857142,0,12.4,0.5,1.79,Dropout,1,Single,Technological specialization,Communication Design,Technological specialization,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,21-24,<120,0.2857142857142857,1-<50%,12-<14,Up to date,No scholarship,Not debtor,Daytime,Below 50%,21-24,9070
864,1,39,1,9670,1,1,133.1,1,38,19,9,8,122.9,0,0,1,0,1,0,25,0,0,6,7,3,14.0,0,0,6,9,2,14.5,0,13.9,-0.3,0.79,Dropout,1,Single,Over 23 years old,Advertising and Marketing Management,Secondary education,Daytime,No,No,Yes,Not up to date,Male,No,No,2nd-3rd choice,25-34,120-<140,0.5,50-<80%,14-<16,Not up to date,No scholarship,Debtor,Daytime,Below 50%,25-34,9670
865,1,44,1,9085,1,39,160.0,1,1,1,5,4,160.0,1,1,0,0,1,0,19,0,2,6,6,6,14.0,0,1,6,11,6,13.5,0,12.4,0.5,1.79,Dropout,1,Single,Technological specialization,Veterinary Nursing,Technological specialization,Daytime,Yes,Yes,No,Not up to date,Male,No,No,2nd-3rd choice,17-20,160+,1.0,80-100%,14-<16,Not up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9085
866,1,1,4,9500,1,1,128.0,1,1,1,4,10,125.2,1,0,0,1,1,1,18,0,0,7,7,7,14.682857142857143,0,0,8,9,8,15.055555555555555,0,12.4,0.5,1.79,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Male,Yes,No,4th-6th choice,17-20,120-<140,1.0,80-100%,14-<16,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
867,1,39,1,9119,1,3,130.0,1,1,38,90,90,143.4,0,0,0,1,1,0,29,0,0,3,3,0,0.0,3,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,1,Single,Over 23 years old,Informatics Engineering,Degree,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,25-34,140-<160,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,25-34,9119
868,1,39,1,9119,1,19,133.1,1,37,38,3,7,96.7,0,0,0,1,1,1,29,0,0,5,6,0,0.0,0,0,5,7,0,0.0,0,12.4,0.5,1.79,Dropout,1,Single,Over 23 years old,Informatics Engineering,Basic education 3rd cycle,Daytime,No,No,No,Up to date,Male,Yes,No,2nd-3rd choice,25-34,<120,0.0,0%,No recorded grade,Up to date,Scholarship,Not debtor,Daytime,No approved units,25-34,9119
869,1,18,1,9254,1,1,137.0,1,19,19,4,5,126.9,0,0,0,1,1,0,20,0,0,6,7,6,13.857142857142858,0,0,6,7,5,12.8,0,16.2,0.3,-0.92,Graduate,0,Single,3rd phase - general,Tourism,Secondary education,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9254
870,1,1,1,171,1,1,163.0,1,19,1,9,7,143.1,0,0,0,1,1,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,0,Single,1st phase - general,Animation and Multimedia Design,Secondary education,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,140-<160,,No units enrolled,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No enrolled units,<=20,171
871,1,1,1,9254,1,1,125.0,1,1,1,191,193,114.5,0,0,0,1,1,0,20,0,0,6,8,6,13.142857142857142,0,0,6,7,6,12.5,0,8.9,1.4,3.51,Graduate,0,Single,1st phase - general,Tourism,Secondary education,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,<120,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9254
872,2,39,1,9119,1,1,120.0,1,34,34,0,0,140.0,1,0,0,1,1,0,33,0,0,5,14,1,18.0,0,0,5,9,2,13.0,0,9.4,-0.8,-3.12,Dropout,1,Married,Over 23 years old,Informatics Engineering,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,25-34,140-<160,0.2,1-<50%,16-20,Up to date,No scholarship,Not debtor,Daytime,Below 50%,25-34,9119
873,1,42,1,9991,0,1,150.0,1,19,19,5,5,113.7,0,0,0,1,1,0,30,0,11,15,15,13,11.461538461538462,0,6,11,15,10,11.583333333333334,1,16.2,0.3,-0.92,Graduate,0,Single,Transfer,Management (evening),Secondary education,Evening,No,No,No,Up to date,Male,No,No,2nd-3rd choice,25-34,<120,0.8666666666666667,80-100%,Below 12,Up to date,No scholarship,Not debtor,Evening,80-100%,25-34,9991
874,1,1,1,9556,1,1,135.0,1,1,1,1,1,131.5,0,0,0,1,1,1,21,0,0,7,14,5,11.2,0,0,8,11,6,11.583333333333334,0,16.2,0.3,-0.92,Enrolled,0,Single,1st phase - general,Oral Hygiene,Secondary education,Daytime,No,No,No,Up to date,Male,Yes,No,2nd-3rd choice,21-24,120-<140,0.7142857142857143,50-<80%,Below 12,Up to date,Scholarship,Not debtor,Daytime,50-79%,21-24,9556
875,1,1,1,9003,1,1,148.0,1,1,19,194,194,143.5,0,0,1,1,1,0,18,0,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,Graduate,0,Single,1st phase - general,Agronomy,Secondary education,Daytime,No,No,Yes,Up to date,Male,No,No,2nd-3rd choice,17-20,140-<160,0.8333333333333334,80-100%,14-<16,Up to date,No scholarship,Debtor,Daytime,80-100%,<=20,9003
876,1,1,1,9500,1,1,138.0,1,38,38,9,9,126.8,0,0,0,1,1,1,19,0,0,7,9,7,14.244444444444444,0,0,8,12,8,12.233333333333333,0,15.5,2.8,-4.06,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,No,No,No,Up to date,Male,Yes,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,14-<16,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
877,1,17,1,9070,1,1,119.0,1,38,19,9,9,115.2,0,0,0,1,1,1,21,0,0,6,8,4,11.5,0,0,6,7,5,11.0,0,15.5,2.8,-4.06,Dropout,1,Single,2nd phase - general,Communication Design,Secondary education,Daytime,No,No,No,Up to date,Male,Yes,No,2nd-3rd choice,21-24,<120,0.6666666666666666,50-<80%,Below 12,Up to date,Scholarship,Not debtor,Daytime,50-79%,21-24,9070
878,1,39,2,9556,1,1,130.0,1,19,19,4,5,100.0,0,0,0,1,1,1,25,0,0,7,7,2,10.0,0,0,7,7,0,0.0,0,15.5,2.8,-4.06,Dropout,1,Single,Over 23 years old,Oral Hygiene,Secondary education,Daytime,No,No,No,Up to date,Male,Yes,No,2nd-3rd choice,25-34,<120,0.2857142857142857,1-<50%,Below 12,Up to date,Scholarship,Not debtor,Daytime,Below 50%,25-34,9556
879,1,1,2,9670,1,1,135.0,1,19,19,7,10,121.4,0,0,0,1,1,0,19,0,0,5,7,3,12.333333333333334,0,0,5,5,5,11.6,0,9.4,-0.8,-3.12,Graduate,0,Single,1st phase - general,Advertising and Marketing Management,Secondary education,Daytime,No,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,120-<140,0.6,50-<80%,12-<14,Up to date,No scholarship,Not debtor,Daytime,50-79%,<=20,9670
880,1,44,1,9070,1,39,120.0,1,19,1,9,3,120.0,1,0,0,1,1,0,23,0,2,7,8,5,12.2,0,5,9,10,7,12.142857142857142,1,16.2,0.3,-0.92,Dropout,1,Single,Technological specialization,Communication Design,Technological specialization,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,21-24,120-<140,0.7142857142857143,50-<80%,12-<14,Up to date,No scholarship,Not debtor,Daytime,50-79%,21-24,9070
881,1,17,2,9070,1,1,126.0,1,38,38,9,8,129.9,1,0,0,1,1,1,19,0,0,6,6,6,13.666666666666666,0,0,6,7,5,13.2,0,12.4,0.5,1.79,Graduate,0,Single,2nd phase - general,Communication Design,Secondary education,Daytime,Yes,No,No,Up to date,Male,Yes,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9070
882,1,1,1,171,1,1,149.0,1,3,2,2,5,151.1,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,0,Single,1st phase - general,Animation and Multimedia Design,Secondary education,Daytime,Yes,No,No,Up to date,Male,No,No,2nd-3rd choice,17-20,140-<160,,No units enrolled,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No enrolled units,<=20,171
883,1,39,1,9003,1,1,110.0,1,19,37,9,6,120.0,0,0,1,0,1,0,31,0,0,6,15,1,11.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout,1,Single,Over 23 years old,Agronomy,Secondary education,Daytime,No,No,Yes,Not up to date,Male,No,No,2nd-3rd choice,25-34,120-<140,0.1666666666666666,1-<50%,Below 12,Not up to date,No scholarship,Debtor,Daytime,Below 50%,25-34,9003
884,1,39,1,9003,1,1,133.1,1,37,37,4,7,130.0,0,0,1,0,1,0,32,0,0,6,8,3,13.0,0,4,10,14,6,11.428571428571429,0,16.2,0.3,-0.92,Dropout,1,Single,Over 23 years old,Agronomy,Secondary education,Daytime,No,No,Yes,Not up to date,Male,No,No,2nd-3rd choice,25-34,120-<140,0.5,50-<80%,12-<14,Not up to date,No scholarship,Debtor,Daytime,Below 50%,25-34,9003
885,1,16,2,9500,1,1,127.0,1,2,38,4,9,119.0,1,0,0,1,0,1,19,0,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,Graduate,0,Single,1st phase - Madeira,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,<120,0.875,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
886,1,42,1,9773,1,6,120.0,1,34,34,0,0,122.0,1,0,0,1,0,0,34,0,8,10,11,10,12.2,0,5,10,12,9,12.333333333333334,0,7.6,2.6,0.32,Graduate,0,Single,Transfer,Journalism and Communication,Higher education attendance,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,25-34,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,25-34,9773
887,1,16,6,9773,1,1,136.0,1,38,14,0,0,129.7,1,0,0,1,0,0,21,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate,0,Single,1st phase - Madeira,Journalism and Communication,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,7th-10th choice,21-24,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9773
888,1,43,2,9238,1,1,110.0,1,37,37,9,7,112.5,1,0,0,1,0,1,53,0,4,7,16,6,11.0,0,2,7,9,7,11.0,0,9.4,-0.8,-3.12,Graduate,0,Single,Change of course,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,35+,<120,0.8571428571428571,80-100%,Below 12,Up to date,Scholarship,Not debtor,Daytime,80-100%,35+,9238
889,1,1,1,9500,1,1,136.0,1,19,19,4,7,136.0,0,0,0,1,0,1,19,0,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,14-<16,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
890,1,1,3,9773,1,1,145.0,1,38,38,9,5,133.1,0,0,0,1,0,1,20,0,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,Graduate,0,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,4th-6th choice,17-20,120-<140,0.6666666666666666,50-<80%,12-<14,Up to date,Scholarship,Not debtor,Daytime,50-79%,<=20,9773
891,1,1,2,9773,1,1,159.0,1,1,19,9,9,151.3,1,0,0,1,0,0,18,0,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,10.8,1.4,1.74,Graduate,0,Single,1st phase - general,Journalism and Communication,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,140-<160,1.0,80-100%,14-<16,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9773
892,1,39,1,171,1,1,147.0,1,37,38,175,193,133.3,0,0,0,0,0,0,32,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout,1,Single,Over 23 years old,Animation and Multimedia Design,Secondary education,Daytime,No,No,No,Not up to date,Female,No,No,2nd-3rd choice,25-34,120-<140,,No units enrolled,No recorded grade,Not up to date,No scholarship,Not debtor,Daytime,No enrolled units,25-34,171
893,1,43,1,9500,1,1,150.0,1,37,37,9,9,130.8,1,0,0,1,0,1,21,0,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,Graduate,0,Single,Change of course,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,21-24,120-<140,0.875,80-100%,14-<16,Up to date,Scholarship,Not debtor,Daytime,80-100%,21-24,9500
894,1,7,1,8014,0,3,140.0,1,37,12,9,4,140.0,0,0,0,0,0,0,26,0,0,5,9,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout,1,Single,Other higher course holders,Social Service (evening),Degree,Evening,No,No,No,Not up to date,Female,No,No,2nd-3rd choice,25-34,140-<160,0.0,0%,No recorded grade,Not up to date,No scholarship,Not debtor,Evening,No approved units,25-34,8014
895,1,42,1,9085,1,39,150.0,1,1,1,4,7,150.0,1,0,0,1,0,0,26,0,11,18,45,18,11.833333333333334,10,9,13,27,13,12.461538461538462,5,15.5,2.8,-4.06,Graduate,0,Single,Transfer,Veterinary Nursing,Technological specialization,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,25-34,140-<160,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,25-34,9085
896,2,44,1,9991,0,39,130.0,1,1,37,4,9,130.0,0,0,0,0,0,0,21,0,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,Dropout,1,Married,Technological specialization,Management (evening),Technological specialization,Evening,No,No,No,Not up to date,Female,No,No,2nd-3rd choice,21-24,120-<140,0.6,50-<80%,Below 12,Not up to date,No scholarship,Not debtor,Evening,50-79%,21-24,9991
897,1,17,1,9773,1,1,120.0,1,37,37,5,5,125.3,0,0,0,1,0,0,18,0,0,6,9,6,12.5,0,0,6,9,6,13.0,0,7.6,2.6,0.32,Graduate,0,Single,2nd phase - general,Journalism and Communication,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9773
898,1,43,1,9070,1,39,130.0,1,19,37,5,9,124.0,1,0,0,1,0,1,21,0,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,Graduate,0,Single,Change of course,Communication Design,Technological specialization,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,21-24,120-<140,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,21-24,9070
899,1,1,1,9254,1,1,112.0,1,38,19,9,5,113.8,1,0,0,1,0,0,21,0,0,6,10,6,10.833333333333334,0,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled,0,Single,1st phase - general,Tourism,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,21-24,<120,1.0,80-100%,Below 12,Up to date,No scholarship,Not debtor,Daytime,80-100%,21-24,9254
900,1,17,1,9670,1,1,128.0,1,19,19,7,7,124.4,0,0,0,1,0,1,19,0,0,6,6,6,13.0,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate,0,Single,2nd phase - general,Advertising and Marketing Management,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9670
901,1,17,1,9147,1,1,114.0,1,19,19,9,7,107.7,0,0,0,1,0,0,19,0,0,5,7,2,10.0,0,0,5,11,2,14.0,0,10.8,1.4,1.74,Dropout,1,Single,2nd phase - general,Management,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,<120,0.4,1-<50%,Below 12,Up to date,No scholarship,Not debtor,Daytime,Below 50%,<=20,9147
902,1,43,2,9238,1,1,118.0,1,38,38,5,5,110.0,0,0,0,1,0,1,19,0,0,6,8,6,11.428571428571429,0,0,6,11,5,11.2,0,10.8,1.4,1.74,Graduate,0,Single,Change of course,Social Service,Secondary education,Daytime,No,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,<120,1.0,80-100%,Below 12,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9238
903,1,7,1,9500,1,3,130.0,1,37,38,7,7,130.0,1,0,0,1,0,0,27,0,0,8,8,8,12.8875,0,0,8,8,8,12.8875,0,9.4,-0.8,-3.12,Graduate,0,Single,Other higher course holders,Nursing,Degree,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,25-34,120-<140,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,25-34,9500
904,1,1,2,9500,1,1,145.0,1,37,1,9,4,138.8,1,0,0,1,0,1,18,0,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,0.8571428571428571,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
905,1,1,2,9147,1,1,121.0,1,19,19,9,9,126.3,1,0,0,1,0,0,20,0,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,1,Single,1st phase - general,Management,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,0.2,1-<50%,Below 12,Up to date,No scholarship,Not debtor,Daytime,Below 50%,<=20,9147
906,1,1,3,9500,1,1,114.0,1,1,1,5,5,114.5,1,0,0,1,0,1,19,0,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,Graduate,0,Single,1st phase - general,Nursing,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,4th-6th choice,17-20,<120,1.0,80-100%,12-<14,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9500
907,1,1,4,9670,1,1,127.0,1,1,1,7,7,116.5,1,0,0,1,0,0,20,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,1,Single,1st phase - general,Advertising and Marketing Management,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,4th-6th choice,17-20,<120,0.0,0%,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No approved units,<=20,9670
908,1,17,2,9238,1,1,145.0,1,19,38,7,6,128.6,1,0,0,1,0,1,19,0,0,6,12,5,11.714285714285714,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate,0,Single,2nd phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,Yes,No,2nd-3rd choice,17-20,120-<140,0.8333333333333334,80-100%,Below 12,Up to date,Scholarship,Not debtor,Daytime,80-100%,<=20,9238
909,1,17,5,9238,1,1,130.0,1,19,1,5,5,130.0,1,0,0,1,0,0,20,0,0,6,8,4,11.25,0,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled,0,Single,2nd phase - general,Social Service,Secondary education,Daytime,Yes,No,No,Up to date,Female,No,No,4th-6th choice,17-20,120-<140,0.6666666666666666,50-<80%,Below 12,Up to date,No scholarship,Not debtor,Daytime,50-79%,<=20,9238
910,1,1,1,171,1,1,150.0,1,38,19,7,10,134.6,0,0,0,1,0,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,1,Single,1st phase - general,Animation and Multimedia Design,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,120-<140,,No units enrolled,No recorded grade,Up to date,No scholarship,Not debtor,Daytime,No enrolled units,<=20,171
911,1,1,1,9853,1,1,145.0,1,37,37,9,5,146.8,0,0,0,1,0,0,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.333333333333334,0,7.6,2.6,0.32,Graduate,0,Single,1st phase - general,Basic Education,Secondary education,Daytime,No,No,No,Up to date,Female,No,No,2nd-3rd choice,17-20,140-<160,1.0,80-100%,12-<14,Up to date,No scholarship,Not debtor,Daytime,80-100%,<=20,9853
